"region";"Elever per kommunal skole (antall) 2015";"Elever per kommunal skole (antall) 2016";"Elever per kommunal skole (antall) 2017";"Elever per kommunal skole (antall) 2018";"Elever per kommunal skole (antall) 2019";"Elever per kommunal skole (antall) 2020"
"4628 Vaksdal";.;.;.;.;.;117.0
"4629 Modalen";.;.;.;.;.;58.0
"4630 Osterøy";.;.;.;.;.;165.4
"4631 Alver";.;.;.;.;.;171.2
"4632 Austrheim";.;.;.;.;.;178.0
"4633 Fedje";.;.;.;.;.;60.0
"4634 Masfjorden";.;.;.;.;.;70.0
"4635 Gulen";.;.;.;.;.;61.5
"4636 Solund";.;.;.;.;.;77.0
"4637 Hyllestad";.;.;.;.;.;115.0
"4638 Høyanger";.;.;.;.;.;86.6
"4639 Vik";.;.;.;.;.;145.5
"4640 Sogndal";.;.;.;.;.;154.7
"4641 Aurland";.;.;.;.;.;79.5
"4642 Lærdal";.;.;.;.;.;115.0
"4643 Årdal";.;.;.;.;.;270.0
"4644 Luster";.;.;.;.;.;70.7
"4645 Askvoll";.;.;.;.;.;78.3
"4646 Fjaler";.;.;.;.;.;88.5
"4647 Sunnfjord";.;.;.;.;.;189.2
"4648 Bremanger";.;.;.;.;.;76.2
"4649 Stad";.;.;.;.;.;137.1
"4650 Gloppen";.;.;.;.;.;142.4
"4651 Stryn";.;.;.;.;.;112.5
"1201 Bergen (-2019)";335.3;340.6;345.1;350.0;349.5;.
"1211 Etne (-2019)";256.5;252.0;261.5;258.5;253.0;.
"1216 Sveio (-2019)";161.0;167.0;166.0;165.0;167.2;.
"1219 Bømlo (-2019)";174.8;174.0;171.8;171.6;172.1;.
"1221 Stord (-2019)";252.0;248.5;252.1;249.1;246.7;.
"1222 Fitjar (-2019)";146.3;151.0;155.3;154.3;150.0;.
"1223 Tysnes (-2019)";95.3;97.0;100.0;101.3;101.7;.
"1224 Kvinnherad (-2019)";101.8;113.2;112.2;109.7;109.2;.
"1227 Jondal (-2019)";122.0;114.0;125.0;124.0;125.0;.
"1228 Odda (-2019)";145.8;155.0;147.4;145.4;142.8;.
"1231 Ullensvang (-2019)";98.0;101.0;102.5;103.5;101.3;.
"1232 Eidfjord (-2019)";90.0;97.0;99.0;98.0;90.0;.
"1233 Ulvik (-2019)";125.0;122.0;117.0;130.0;125.0;.
"1234 Granvin (-2019)";94.0;87.0;90.0;93.0;87.0;.
"1235 Voss (-2019)";159.9;179.0;179.1;178.0;175.7;.
"1238 Kvam (-2019)";171.8;176.5;173.5;169.7;170.7;.
"1241 Fusa (-2019)";76.1;84.8;83.4;76.0;73.8;.
"1242 Samnanger (-2019)";142.0;141.5;142.5;141.5;141.0;.
"1243 Os (Hordaland) (-2019)";228.7;232.8;241.5;247.8;251.5;.
"1244 Austevoll (-2019)";142.2;170.8;169.8;230.3;226.3;.
"1245 Sund (-2019)";193.6;198.8;199.4;216.8;222.6;.
"1246 Fjell (-2019)";216.4;216.7;217.6;246.8;266.1;.
"1247 Askøy (-2019)";245.6;248.4;250.8;255.0;258.5;.
"1251 Vaksdal (-2019)";96.8;94.4;95.4;92.4;93.8;.
"1252 Modalen (-2019)";86.0;79.0;70.0;72.0;66.0;.
"1253 Osterøy (-2019)";150.0;163.6;158.8;163.6;165.0;.
"1256 Meland (-2019)";214.2;216.2;225.0;234.8;238.4;.
"1259 Øygarden (-2019)";134.0;137.8;132.4;134.8;132.2;.
"1260 Radøy (-2019)";126.8;124.0;119.6;115.4;115.4;.
"1263 Lindås (-2019)";160.0;162.6;161.5;161.6;161.3;.
"1264 Austrheim (-2019)";194.0;196.0;193.0;193.0;186.5;.
"1265 Fedje (-2019)";73.0;80.0;78.0;76.0;67.0;.
"1266 Masfjorden (-2019)";67.0;66.7;72.0;73.7;73.0;.
"1401 Flora (-2019)";178.8;182.4;181.1;177.6;174.4;.
"1411 Gulen (-2019)";71.8;68.8;70.3;66.5;63.5;.
"1412 Solund (-2019)";84.0;90.0;88.0;90.0;86.0;.
"1413 Hyllestad (-2019)";162.0;147.0;136.0;127.0;114.0;.
"1416 Høyanger (-2019)";106.2;100.8;99.8;93.8;87.4;.
"1417 Vik (-2019)";62.6;63.6;62.4;64.2;63.2;.
"1418 Balestrand (-2019)";127.0;66.0;61.5;66.5;66.5;.
"1419 Leikanger (-2019)";164.0;163.0;153.0;147.5;146.5;.
"1420 Sogndal (-2019)";193.6;191.0;189.8;189.4;193.6;.
"1421 Aurland (-2019)";92.0;88.0;87.0;86.0;85.0;.
"1422 Lærdal (-2019)";81.7;81.7;122.0;118.0;112.5;.
"1424 Årdal (-2019)";272.5;273.5;269.0;272.5;262.5;.
"1426 Luster (-2019)";73.1;73.4;74.3;71.8;70.3;.
"1428 Askvoll (-2019)";78.8;75.5;77.0;80.8;81.3;.
"1429 Fjaler (-2019)";65.4;73.2;71.6;75.2;73.0;.
"1430 Gaular (-2019)";131.3;132.0;140.3;146.0;147.0;.
"1431 Jølster (-2019)";216.5;216.0;216.5;216.5;212.0;.
"1432 Førde (-2019)";204.1;206.2;209.2;204.4;201.7;.
"1433 Naustdal (-2019)";178.5;185.0;187.5;188.5;185.5;.
"1438 Bremanger (-2019)";77.7;80.7;76.7;73.7;70.0;.
"1439 Vågsøy (-2019)";124.8;125.5;129.2;185.0;180.5;.
"1441 Selje (-2019)";105.3;99.0;103.0;98.0;93.7;.
"1443 Eid (-2019)";153.6;152.8;156.4;163.0;161.6;.
"1444 Hornindal (-2019)";158.0;158.0;147.0;149.0;139.0;.
"1445 Gloppen (-2019)";155.4;157.6;154.8;155.2;150.2;.
"1449 Stryn (-2019)";120.6;123.6;118.1;119.1;113.4;.
"1502 Molde (-2019)";235.8;236.8;237.5;243.5;245.2;.
"1504 Ålesund (-2019)";304.1;303.5;303.7;305.8;310.1;.
"1505 Kristiansund";219.6;221.3;238.0;236.5;231.8;227.0
"1506 Molde";.;.;.;.;.;200.9
"1507 Ålesund";.;.;.;.;.;242.7
"1511 Vanylven";112.3;106.0;104.3;102.0;96.0;91.0
"1514 Sande";54.6;53.2;51.8;50.2;47.2;75.7
"1515 Herøy (Møre og Romsdal)";152.0;150.3;151.6;148.1;143.9;138.7
"1516 Ulstein";240.4;227.2;231.6;225.8;224.2;215.0
"1517 Hareid";152.5;149.5;153.3;157.0;156.5;154.0
"1519 Volda (-2019)";141.0;143.1;142.3;138.9;157.6;.
"1520 Ørsta";189.0;192.0;191.3;189.4;188.7;189.7
"1523 Ørskog (-2019)";145.5;147.0;137.0;276.0;274.0;.
"1524 Norddal (-2019)";107.5;101.0;101.5;103.0;99.0;.
"1525 Stranda";105.8;103.6;98.8;96.2;116.5;110.5
"1526 Stordal (-2019)";161.0;145.0;134.0;131.0;115.0;.
"1528 Sykkylven";157.0;153.8;147.0;173.4;170.0;166.4
"1529 Skodje (-2019)";145.0;172.3;176.0;172.7;188.0;.
"1531 Sula";241.0;249.2;252.2;259.2;267.0;268.0
"1532 Giske";233.0;236.8;233.4;236.4;235.4;239.8
"1534 Haram (-2019)";113.1;114.9;113.1;114.6;112.3;.
"1535 Vestnes";180.8;177.3;172.3;174.0;172.5;172.8
"1539 Rauma";140.5;141.7;144.8;146.2;141.8;159.0
"1543 Nesset (-2019)";105.3;103.0;96.3;99.7;97.3;.
"1545 Midsund (-2019)";120.5;121.5;124.0;123.5;122.5;.
"1546 Sandøy (-2019)";159.0;159.0;165.0;164.0;155.0;.
"1547 Aukra";271.0;279.0;267.5;271.5;275.5;273.5
"1548 Fræna (-2019)";152.9;151.6;151.3;147.6;146.6;.
"1551 Eide (-2019)";121.8;123.5;122.0;162.7;158.3;.
"1554 Averøy";141.6;141.6;179.0;175.8;224.3;221.7
"1557 Gjemnes";151.5;152.0;148.5;148.5;143.0;137.5
"1560 Tingvoll";118.0;117.3;121.3;120.3;116.3;112.0
"1563 Sunndal";136.2;137.0;128.8;125.7;119.2;121.0
"1566 Surnadal";113.8;110.2;107.2;106.8;103.8;103.0
"1567 Rindal";120.5;237.0;223.0;233.0;.;.
"1571 Halsa (-2019)";184.0;184.0;175.0;169.0;171.0;.
"1573 Smøla";56.0;77.7;115.0;119.5;111.0;107.0
"1576 Aure";80.0;80.0;78.2;79.4;96.8;121.7
"1577 Volda";.;.;.;.;.;150.3
"1578 Fjord";.;.;.;.;.;102.7
"1579 Hustadvika";.;.;.;.;.;161.5
"5001 Trondheim";.;.;.;395.4;400.4;394.4
"5004 Steinkjer (2018-2019)";.;.;.;209.9;213.9;.
"5005 Namsos (2018-2019)";.;.;.;199.1;197.6;.
"5006 Steinkjer";.;.;.;.;.;198.3
"5007 Namsos";.;.;.;.;.;161.9
"5011 Hemne (2018-2019)";.;.;.;155.3;157.3;.
"5012 Snillfjord (2018-2019)";.;.;.;28.3;24.0;.
"5013 Hitra (2018-2019)";.;.;.;97.0;93.2;.
"5014 Frøya";.;.;.;86.5;76.9;78.1
"5015 Ørland (2018-2019)";.;.;.;195.3;196.0;.
"5016 Agdenes (2018-2019)";.;.;.;87.0;87.0;.
"5017 Bjugn (2018-2019)";.;.;.;284.0;278.0;.
"5018 Åfjord (2018-2019)";.;.;.;156.0;156.0;.
"5019 Roan (2018-2019)";.;.;.;44.5;45.5;.
"5020 Osen";.;.;.;51.0;48.5;90.0
"5021 Oppdal";.;.;.;157.4;193.8;196.3
"5022 Rennebu";.;.;.;250.0;239.0;215.0
"5023 Meldal (2018-2019)";.;.;.;299.0;309.0;.
"5024 Orkdal (2018-2019)";.;.;.;260.2;263.0;.
"5025 Røros";.;.;.;188.3;184.7;182.0
"5026 Holtålen";.;.;.;114.0;110.0;105.0
"5027 Midtre Gauldal";.;.;.;134.2;137.4;141.0
"5028 Melhus";.;.;.;194.6;193.3;195.6
"5029 Skaun";.;.;.;206.0;210.7;215.5
"5030 Klæbu (2018-2019)";.;.;.;317.7;307.3;.
"5031 Malvik";.;.;.;278.4;280.3;276.7
"5032 Selbu";.;.;.;114.8;116.8;110.3
"5033 Tydal";.;.;.;66.0;67.0;66.0
"5034 Meråker";.;.;.;262.0;266.0;255.0
"5035 Stjørdal";.;.;.;229.9;225.2;224.8
"5036 Frosta";.;.;.;301.0;301.0;292.0
"5037 Levanger";.;.;.;302.6;300.3;295.9
"5038 Verdal";.;.;.;204.4;225.6;218.5
"5039 Verran (2018-2019)";.;.;.;128.5;120.0;.
"5040 Namdalseid (2018-2019)";.;.;.;87.0;88.0;.
"5041 Snåase - Snåsa";.;.;.;99.5;95.0;92.5
"5042 Lierne";.;.;.;79.5;72.0;69.0
"5043 Raarvihke - Røyrvik";.;.;.;57.0;56.0;55.0
"5044 Namsskogan";.;.;.;50.0;44.0;44.5
"5045 Grong";.;.;.;128.0;131.0;132.5
"5046 Høylandet";.;.;.;182.0;177.0;174.0
"5047 Overhalla";.;.;.;232.5;240.0;241.5
"5048 Fosnes (2018-2019)";.;.;.;25.0;44.0;.
"5049 Flatanger";.;.;.;45.5;44.5;44.0
"5050 Vikna (2018-2019)";.;.;.;290.0;290.0;.
"5051 Nærøy (2018-2019)";.;.;.;94.2;109.0;.
"5052 Leka";.;.;.;56.0;54.0;62.0
"5053 Inderøy";.;.;.;119.1;119.9;119.7
"5054 Indre Fosen";.;.;.;204.2;202.8;197.7
"5055 Heim";.;.;.;.;.;133.2
"5056 Hitra";.;.;.;.;.;81.3
"5057 Ørland";.;.;.;.;.;192.7
"5058 Åfjord";.;.;.;.;.;98.8
"5059 Orkland";.;.;.;.;.;212.1
"5060 Nærøysund";.;.;.;.;.;190.7
"5061 Rindal";.;.;.;.;218.0;211.0
"1601 Trondheim (-2017)";379.9;379.0;382.5;.;.;.
"1612 Hemne (-2017)";172.3;167.3;172.7;.;.;.
"1613 Snillfjord (-2017)";33.7;31.3;30.3;.;.;.
"1617 Hitra (-2017)";98.4;101.2;95.4;.;.;.
"1620 Frøya (-2017)";85.0;84.2;85.2;.;.;.
"1621 Ørland (-2017)";194.0;189.3;196.0;.;.;.
"1622 Agdenes (-2017)";87.5;84.5;88.5;.;.;.
"1624 Rissa (-2017)";201.8;199.8;197.0;.;.;.
"1627 Bjugn (-2017)";180.3;286.5;290.5;.;.;.
"1630 Åfjord (-2017)";173.0;163.5;160.5;.;.;.
"1632 Roan (-2017)";30.3;47.0;44.0;.;.;.
"1633 Osen (-2017)";56.5;53.5;54.0;.;.;.
"1634 Oppdal (-2017)";196.0;156.8;160.2;.;.;.
"1635 Rennebu (-2017)";99.3;97.7;287.0;.;.;.
"1636 Meldal (-2017)";317.0;312.0;311.0;.;.;.
"1638 Orkdal (-2017)";255.3;254.7;260.7;.;.;.
"1640 Røros (-2017)";198.7;187.0;193.0;.;.;.
"1644 Holtålen (-2017)";109.5;106.5;112.0;.;.;.
"1648 Midtre Gauldal (-2017)";138.0;135.0;134.2;.;.;.
"1653 Melhus (-2017)";194.8;191.4;193.1;.;.;.
"1657 Skaun (-2017)";177.3;187.2;199.0;.;.;.
"1662 Klæbu (-2017)";317.7;312.7;314.0;.;.;.
"1663 Malvik (-2017)";269.0;275.4;279.3;.;.;.
"1664 Selbu (-2017)";127.8;124.5;118.0;.;.;.
"1665 Tydal (-2017)";76.0;81.0;74.0;.;.;.
"1702 Steinkjer (-2017)";208.3;212.2;208.3;.;.;.
"1703 Namsos (-2017)";202.3;199.4;200.4;.;.;.
"1711 Meråker (-2017)";259.0;281.0;261.0;.;.;.
"1714 Stjørdal (-2017)";211.6;216.9;215.8;.;.;.
"1717 Frosta (-2017)";326.0;311.0;306.0;.;.;.
"1718 Leksvik (-2017)";233.5;232.5;231.5;.;.;.
"1719 Levanger (-2017)";294.0;296.5;300.3;.;.;.
"1721 Verdal (-2017)";185.6;184.0;184.5;.;.;.
"1724 Verran (-2017)";132.0;131.5;132.0;.;.;.
"1725 Namdalseid (-2017)";95.0;91.5;91.0;.;.;.
"1736 Snåase - Snåsa (-2017)";106.0;105.5;104.5;.;.;.
"1738 Lierne (-2017)";82.0;80.0;75.0;.;.;.
"1739 Raarvihke - Røyrvik (-2017)";58.0;54.0;56.0;.;.;.
"1740 Namsskogan (-2017)";46.0;50.5;53.5;.;.;.
"1742 Grong (-2017)";129.0;128.0;124.0;.;.;.
"1743 Høylandet (-2017)";191.0;194.0;188.0;.;.;.
"1744 Overhalla (-2017)";255.0;260.0;242.0;.;.;.
"1748 Fosnes (-2017)";30.5;28.0;26.5;.;.;.
"1749 Flatanger (-2017)";37.5;36.0;35.5;.;.;.
"1750 Vikna (-2017)";298.5;291.5;298.0;.;.;.
"1751 Nærøy (-2017)";81.3;79.6;95.7;.;.;.
"1755 Leka (-2017)";56.0;57.0;55.0;.;.;.
"1756 Inderøy (-2017)";126.9;126.0;121.9;.;.;.
"1804 Bodø";262.8;262.4;263.9;277.0;275.6;275.3
"1805 Narvik (-2019)";211.2;211.7;244.4;244.4;243.6;.
"1806 Narvik";.;.;.;.;.;224.2
"1811 Bindal";95.0;96.0;95.0;101.0;96.0;98.0
"1812 Sømna";144.0;139.0;137.5;142.0;134.5;131.0
"1813 Brønnøy";249.5;253.5;247.3;245.3;242.5;241.5
"1815 Vega";134.0;141.0;140.0;143.0;122.0;127.0
"1816 Vevelstad";24.5;30.0;26.0;25.5;22.5;38.0
"1818 Herøy (Nordland)";180.0;188.0;199.0;204.0;201.0;204.0
"1820 Alstahaug";125.1;142.5;144.8;138.0;137.2;135.8
"1822 Leirfjord";79.7;78.0;82.7;92.0;91.7;93.0
"1824 Vefsn";188.6;211.3;211.0;209.3;204.6;237.0
"1825 Grane";176.0;172.0;164.0;174.0;167.0;169.0
"1826 Hattfjelldal";56.0;58.3;56.7;55.7;49.3;45.3
"1827 Dønna";73.0;80.5;75.5;69.5;69.5;68.0
"1828 Nesna";104.0;107.5;109.5;109.5;209.0;191.0
"1832 Hemnes";105.0;104.2;102.6;97.6;98.4;94.6
"1833 Rana";202.4;214.7;215.6;251.2;295.5;289.5
"1834 Lurøy";34.8;31.7;32.3;33.2;34.3;34.3
"1835 Træna";68.0;64.0;55.0;53.0;48.0;38.0
"1836 Rødøy";30.3;27.5;25.8;26.5;25.5;24.8
"1837 Meløy";83.4;94.4;94.5;88.0;84.6;85.8
"1838 Gildeskål";46.0;43.8;43.0;52.5;50.3;51.5
"1839 Beiarn";45.5;43.0;44.5;42.0;43.5;80.0
"1840 Saltdal";170.0;176.0;175.3;176.0;175.0;171.0
"1841 Fauske - Fuossko";180.0;179.3;173.5;173.7;253.5;244.8
"1845 Sørfold";80.7;79.7;79.0;74.0;69.7;70.3
"1848 Steigen";85.0;66.5;63.8;65.8;67.8;67.8
"1849 Hamarøy - Hábmer (-2019)";58.0;85.5;79.5;79.5;78.5;.
"1850 Divtasvuodna - Tysfjord (-2019)";72.3;67.0;71.0;101.5;97.5;.
"1851 Lødingen";73.3;76.0;72.0;73.3;68.3;98.5
"1852 Tjeldsund (-2019)";41.3;41.7;40.7;61.5;62.5;.
"1853 Evenes";147.0;139.0;142.0;146.0;143.0;124.0
"1854 Ballangen (-2019)";148.0;143.5;142.5;267.0;255.0;.
"1856 Røst";58.0;53.0;51.0;52.0;46.0;47.0
"1857 Værøy";93.0;81.0;86.0;72.0;76.0;78.0
"1859 Flakstad";59.0;59.0;94.0;92.0;85.0;75.0
"1860 Vestvågøy";210.7;212.2;217.7;207.8;207.0;205.8
"1865 Vågan";108.4;116.3;120.6;117.8;105.5;100.2
"1866 Hadsel";180.0;176.0;177.4;179.2;182.2;182.4
"1867 Bø";62.0;61.0;59.0;61.3;57.5;53.0
"1868 Øksnes";120.5;121.0;117.0;148.0;224.0;228.5
"1870 Sortland";160.6;156.0;153.8;154.1;155.6;177.0
"1871 Andøy";215.5;209.5;193.5;183.5;181.0;172.0
"1874 Moskenes";91.0;89.0;99.0;88.0;81.0;74.0
"1875 Hamarøy";.;.;.;.;.;83.7
"5401 Tromsø";.;.;.;.;.;217.2
"5402 Harstad";.;.;.;.;.;253.8
"5403 Alta";.;.;.;.;.;157.8
"5404 Vardø";.;.;.;.;.;158.0
"5405 Vadsø";.;.;.;.;.;193.0
"5406 Hammerfest";.;.;.;.;.;142.3
"5411 Kvæfjord";.;.;.;.;.;95.3
"5412 Tjeldsund";.;.;.;.;.;94.0
"5413 Ibestad";.;.;.;.;.;82.0
"5414 Gratangen";.;.;.;.;.;43.0
"5415 Loabák - Lavangen";.;.;.;.;.;134.0
"5416 Bardu";.;.;.;.;.;116.3
"5417 Salangen";.;.;.;.;.;208.0
"5418 Målselv";.;.;.;.;.;98.9
"5419 Sørreisa";.;.;.;.;.;124.0
"5420 Dyrøy";.;.;.;.;.;106.0
"5421 Senja";.;.;.;.;.;121.3
"5422 Balsfjord";.;.;.;.;.;142.5
"5423 Karlsøy";.;.;.;.;.;76.5
"5424 Lyngen";.;.;.;.;.;88.7
"5425 Storfjord - Omasvuotna - Omasvuono";.;.;.;.;.;89.0
"5426 Gáivuotna - Kåfjord - Kaivuono";.;.;.;.;.;74.0
"5427 Skjervøy";.;.;.;.;.;146.0
"5428 Nordreisa";.;.;.;.;.;110.8
"5429 Kvænangen";.;.;.;.;.;116.0
"5430 Guovdageaidnu-Kautokeino";.;.;.;.;.;120.0
"5432 Loppa";.;.;.;.;.;16.0
"5433 Hasvik";.;.;.;.;.;32.0
"5434 Måsøy";.;.;.;.;.;50.5
"5435 Nordkapp";.;.;.;.;.;273.0
"5436 Porsanger - Porsá?gu - Porsanki ";.;.;.;.;.;94.0
"5437 Kárásjohka-Karasjok";.;.;.;.;.;263.0
"5438 Lebesby";.;.;.;.;.;59.5
"5439 Gamvik";.;.;.;.;.;23.0
"5440 Berlevåg";.;.;.;.;.;63.0
"5441 Deatnu-Tana";.;.;.;.;.;45.8
"5442 Unjárga-Nesseby";.;.;.;.;.;91.0
"5443 Båtsfjord";.;.;.;.;.;102.5
"5444 Sør-Varanger";.;.;.;.;.;130.9
"1902 Tromsø (-2019)";220.1;223.4;223.1;222.3;220.4;.
"1903 Harstad - Hárstták (2013-2019)";235.1;238.0;237.2;238.1;255.7;.
"1911 Kvæfjord (-2019)";111.0;113.3;111.0;105.7;101.7;.
"1913 Skånland (-2019)";104.0;105.7;106.7;109.3;109.3;.
"1917 Ibestad (-2019)";99.0;134.0;98.0;91.0;82.0;.
"1919 Gratangen (-2019)";79.0;76.0;73.0;59.0;55.0;.
"1920 Loabák - Lavangen (-2019)";148.0;153.0;145.0;141.0;138.0;.
"1922 Bardu (-2019)";118.3;116.8;119.3;119.8;119.8;.
"1923 Salangen (-2019)";257.0;271.0;240.0;237.0;221.0;.
"1924 Målselv (-2019)";104.6;109.6;103.1;100.6;100.1;.
"1925 Sørreisa (-2019)";141.3;140.3;135.3;130.7;130.3;.
"1926 Dyrøy (-2019)";132.0;121.0;123.0;116.0;109.0;.
"1927 Tranøy (-2019)";89.5;90.0;89.0;86.0;83.0;.
"1928 Torsken (-2019)";50.5;44.5;48.0;42.5;37.0;.
"1929 Berg (-2019)";57.0;60.0;57.0;59.0;58.0;.
"1931 Lenvik (-2019)";161.8;160.8;158.8;160.2;160.3;.
"1933 Balsfjord (-2019)";122.4;115.6;115.2;113.4;111.4;.
"1936 Karlsøy (-2019)";61.3;77.0;73.0;68.5;74.5;.
"1938 Lyngen (-2019)";98.3;100.7;94.0;96.3;90.0;.
"1939 Storfjord - Omasvuotna - Omasvuono (-2019)";110.0;102.0;107.5;100.0;95.0;.
"1940 Gáivuotna - Kåfjord - Kaivuono (-2019)";69.3;54.3;74.0;76.0;76.0;.
"1941 Skjervøy (-2019)";99.7;97.3;97.0;97.3;148.5;.
"1942 Nordreisa - Ráisa - Raisi (-2019)";120.8;115.8;119.8;118.5;118.5;.
"1943 Kvænangen (-2019)";65.5;63.0;119.0;111.0;113.0;.
"2002 Vardø (-2019)";186.0;168.0;172.0;164.0;160.0;.
"2003 Vadsø (-2019)";258.0;253.0;236.0;228.3;210.7;.
"2004 Hammerfest (-2019)";138.4;139.7;158.0;179.6;172.6;.
"2011 Guovdageaidnu - Kautokeino (-2019)";123.0;116.3;117.0;116.0;119.0;.
"2012 Alta (-2019)";163.9;165.6;175.9;168.9;168.7;.
"2014 Loppa (-2019)";22.0;21.3;22.0;21.0;17.7;.
"2015 Hasvik (-2019)";31.0;30.7;30.0;30.7;30.7;.
"2017 Kvalsund (-2019)";47.5;41.0;45.0;42.0;40.0;.
"2018 Måsøy (-2019)";35.0;53.5;55.0;54.0;54.5;.
"2019 Nordkapp (-2019)";183.5;171.5;161.5;161.5;148.0;.
"2020 Porsanger - Porsángu - Porsanki (-2019)";133.3;103.8;104.0;97.8;95.5;.
"2021 Kárásjohka - Karasjok (-2019)";314.0;298.0;309.0;288.0;279.0;.
"2022 Lebesby (-2019)";79.0;49.7;45.7;45.3;64.5;.
"2023 Gamvik (-2019)";29.3;25.7;26.3;25.3;23.0;.
"2024 Berlevåg (-2019)";87.0;86.0;87.0;78.0;72.0;.
"2025 Deatnu - Tana (-2019)";52.2;51.4;52.2;50.2;50.8;.
"2027 Unjárga - Nesseby (-2019)";99.0;98.0;101.0;90.0;95.0;.
"2028 Båtsfjord (-2019)";122.0;121.5;117.0;112.5;108.5;.
"2030 Sør-Varanger (-2019)";107.2;104.8;113.8;110.8;135.8;.
"2111 Longyearbyen";225.0;227.0;241.0;235.0;221.0;226.0
